Customer_ID,Name,Age,Gender,Location,Registration_Date
1.0,Jennifer Fox,48.0,Female,Dawnport,2022-12-09
2.0,Elizabeth Terry,55.0,Other,Beckerville,2021-12-08
3.0,Zachary Hernandez,49.0,Other,North Jessica,2023-07-05
4.0,Danielle Johnson,,Female,East Suzanne,2020-07-25
5.0,Maureen Watson,52.0,Male,Briannabury,2024-05-04
6.0,Stephen Cortez,34.0,Female,Youngshire,2024-09-21
7.0,Jeffrey Walsh,18.0,Other,Flemingview,2022-03-05
8.0,Stephanie Nguyen,37.0,Female,North Juanview,2021-06-08
9.0,Ashley Johnson,,Other,East Matthewburgh,2022-01-15
10.0,Daniel Stephens,57.0,Male,Leeton,2020-09-08
11.0,Stephanie Swanson,30.0,Female,Davidbury,2021-03-02
12.0,Ricky Logan,52.0,Female,Destinyfurt,2021-06-28
13.0,Jason Chen,44.0,Female,Sherrychester,2023-01-16
14.0,Ian Hayes,,Other,Whiteview,2022-08-09
15.0,Paul Rogers,31.0,Female,Michaelberg,2024-02-27
16.0,Thomas Hernandez,37.0,Female,East Malloryport,2021-05-20
17.0,Brian Zimmerman,34.0,Female,West Kristin,2021-05-14
18.0,Caitlin Downs,70.0,Female,Heatherburgh,2023-08-09
19.0,Joel Li,48.0,Male,Williamstown,2021-04-03
20.0,April Fisher,44.0,Male,Haasburgh,2024-01-10
,David Roberts,64.0,Female,Smithhaven,2023-04-23
22.0,Jared Taylor,56.0,Male,Osborntown,2021-10-12
23.0,Bill Castro,19.0,Male,Cassidyborough,2022-02-19
24.0,Ronald Collier,50.0,Male,Parkston,2024-01-31
25.0,Luke Miller,28.0,Male,Kylemouth,2024-02-13
26.0,Mr. Ronald Dyer,59.0,Female,Lake Joshua,2022-01-05
27.0,Kiara Mcintosh,47.0,Female,East Matthew,2023-03-01
28.0,Jesse King,48.0,Female,Garyfurt,2020-11-29
29.0,Olivia Gonzalez,62.0,Female,Davidville,2023-10-10
30.0,Tammy Zimmerman,62.0,Female,Markfort,2022-04-24
31.0,Haley Booth,67.0,Other,,2024-04-11
32.0,Benjamin Hanson,36.0,Other,North April,2022-06-04
33.0,Paul Vega,57.0,Female,Juliechester,2021-01-24
34.0,Nicholas Sparks,24.0,Male,South Amyberg,2023-09-20
35.0,Dalton Hayes,31.0,Female,Dawnfurt,2022-11-30
36.0,Joshua Ryan,63.0,Male,Ericaview,2021-02-23
37.0,Lauren Faulkner,56.0,Male,Campbellmouth,2023-02-22
38.0,Alison Terry,,Female,East Joanna,2020-10-01
39.0,Mark Brown,58.0,Female,,2022-09-23
40.0,James Flynn,31.0,Female,Christinaburgh,2020-10-31
41.0,Christine Hall,35.0,Female,Potterbury,2023-07-20
42.0,Daniel Smith,39.0,Female,Robertton,2022-03-02
43.0,Brittany Ramirez,69.0,Other,Lake Ebony,2024-06-03
44.0,Tammy Newman,50.0,Male,Christinemouth,2021-10-13
45.0,Joe Williams,29.0,Male,,2022-02-28
46.0,Maurice Lin,31.0,Male,Schwartzmouth,2020-08-06
47.0,Johnny Norman,67.0,Female,Kevinmouth,2020-06-30
48.0,Julie Heath,59.0,Female,Jasonshire,2021-02-18
,Pamela Evans,50.0,Male,Lake Jamie,2022-05-10
50.0,Eric Johnson,42.0,Male,Port Charlesmouth,2021-12-31
51.0,Brittany Sanchez,20.0,Male,New Elizabeth,2021-07-15
52.0,Joseph Dillon,40.0,Male,West Michele,2020-03-16
53.0,Clinton Terry,42.0,Male,North Markshire,2021-10-16
54.0,Mary Hogan,53.0,Other,Denisestad,2021-12-10
55.0,Angelica Kelly,46.0,Female,Walkerchester,2024-04-17
56.0,Patricia Frederick,22.0,Other,Danielside,
57.0,Christopher Moore,30.0,Female,Brandonchester,2022-11-19
58.0,Zachary Camacho,68.0,Male,Robinsonton,2024-06-19
,,41.0,Female,New Nicholasmouth,2022-08-05
60.0,Debra Espinoza,31.0,Other,Karenport,2021-09-11
61.0,Ian Anderson,31.0,Male,Johnmouth,2024-08-10
62.0,Gregory Hoover,69.0,Other,North Jennifer,2023-10-12
63.0,Donna Gardner,39.0,Other,West Davidside,2021-06-28
64.0,Jason Marshall,60.0,Female,North Ashley,2021-02-18
65.0,Joshua Cochran,69.0,Female,Port Cody,2021-06-21
66.0,Charles Mcclain,69.0,Male,Donnaburgh,2020-03-09
67.0,Mark Robinson,28.0,Other,Port Cherylchester,2024-06-12
68.0,Sherry Gonzalez,44.0,Female,Cranetown,2024-10-12
69.0,Jasmine Ward,34.0,Other,Mendezmouth,2020-10-11
70.0,Tony Booker,24.0,,Kellyport,2021-02-09
71.0,Megan Valdez,59.0,Female,Joshuastad,2023-08-27
72.0,Andrew Osborne,39.0,Male,Port Riley,
73.0,Erica Chaney,62.0,Male,New Jeremytown,2024-02-19
74.0,Nicholas Anderson,40.0,Male,Baileychester,
75.0,Diana Morales,25.0,Female,Jonathanberg,2021-10-31
76.0,Jonathan Taylor,19.0,Female,Lake Jon,2023-05-29
77.0,Theodore Werner,38.0,Female,Lake Laurafurt,2023-08-04
78.0,Crystal Jones,35.0,Other,Port Donaldhaven,2021-06-04
79.0,Rebecca Vega,30.0,Female,Anthonyhaven,2021-06-27
80.0,Brenda Norton,33.0,Female,North Jeremyview,2025-02-07
81.0,Charles Morris,69.0,Male,North Kristin,2025-01-29
82.0,Catherine Lee,29.0,Female,Peterport,2020-11-30
83.0,Adam Cox,40.0,Male,South Jonathan,2023-01-11
84.0,Jesse Kelly,57.0,Female,,2021-06-21
85.0,Zachary Myers,43.0,Other,Port Lukefort,2020-07-07
86.0,Marilyn Bond,34.0,Male,New Pamela,2020-10-09
87.0,Sandra Harris,66.0,Other,South Candiceville,2023-07-06
88.0,Angel Ruiz,49.0,Other,Vaughnstad,2022-10-24
89.0,Sean Mata,40.0,Female,Lake Ryan,2021-08-16
90.0,Courtney Hernandez,61.0,Male,East Anneburgh,2021-05-18
91.0,Megan Ballard,61.0,,East Sallyfort,2021-11-30
92.0,Nathan Williams,19.0,Female,Morrisfurt,2023-11-16
93.0,Taylor Thomas,25.0,Female,Thomasshire,2021-08-18
94.0,Carol Reese,60.0,Female,Matthewton,2024-06-26
95.0,Karla Munoz,29.0,Male,Valerieland,2022-05-22
